"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"363",2005,"Wisconsin","Liver and Intrahepatic Bile Duct",4.8,288,5546166
"364",2005,"Wyoming","Liver and Intrahepatic Bile Duct",3.7,20,514157
"365",2006,"Alabama","Liver and Intrahepatic Bile Duct",5,250,4628981
"366",2006,"Alaska","Liver and Intrahepatic Bile Duct",5.1,26,675302
"367",2006,"Arizona","Liver and Intrahepatic Bile Duct",4.7,291,6029141
"368",2006,"Arkansas","Liver and Intrahepatic Bile Duct",5.4,172,2821761
"369",2006,"California","Liver and Intrahepatic Bile Duct",6.4,2155,36021202
"370",2006,"Colorado","Liver and Intrahepatic Bile Duct",4.2,182,4720423
"371",2006,"Connecticut","Liver and Intrahepatic Bile Duct",5.1,204,3517460
"372",2006,"Delaware","Liver and Intrahepatic Bile Duct",4,39,859268
"373",2006,"District of Columbia","Liver and Intrahepatic Bile Duct",6,34,570681
"374",2006,"Florida","Liver and Intrahepatic Bile Duct",5.2,1201,18166990
"375",2006,"Georgia","Liver and Intrahepatic Bile Duct",4.7,386,9155813
"376",2006,"Hawaii","Liver and Intrahepatic Bile Duct",6.5,96,1309731
"377",2006,"Idaho","Liver and Intrahepatic Bile Duct",4.3,62,1468669
"378",2006,"Illinois","Liver and Intrahepatic Bile Duct",5.2,670,12643955
"379",2006,"Indiana","Liver and Intrahepatic Bile Duct",4.7,315,6332669
"380",2006,"Iowa","Liver and Intrahepatic Bile Duct",3.9,140,2982644
"381",2006,"Kansas","Liver and Intrahepatic Bile Duct",4.5,134,2762931
"382",2006,"Kentucky","Liver and Intrahepatic Bile Duct",4.8,219,4219239
"383",2006,"Louisiana","Liver and Intrahepatic Bile Duct",6.3,278,4302665
"384",2006,"Maine","Liver and Intrahepatic Bile Duct",4.7,78,1323619
"385",2006,"Maryland","Liver and Intrahepatic Bile Duct",5,291,5627367
"386",2006,"Massachusetts","Liver and Intrahepatic Bile Duct",5.5,392,6410084
"387",2006,"Michigan","Liver and Intrahepatic Bile Duct",5.4,588,10036081
"388",2006,"Minnesota","Liver and Intrahepatic Bile Duct",4.3,229,5163555
"389",2006,"Mississippi","Liver and Intrahepatic Bile Duct",6.6,194,2904978
"390",2006,"Missouri","Liver and Intrahepatic Bile Duct",5.1,330,5842704
"391",2006,"Montana","Liver and Intrahepatic Bile Duct",4.3,46,952692
"392",2006,"Nebraska","Liver and Intrahepatic Bile Duct",4.3,82,1772693
"393",2006,"Nevada","Liver and Intrahepatic Bile Duct",6.1,146,2522658
"394",2006,"New Hampshire","Liver and Intrahepatic Bile Duct",4.9,67,1308389
"395",2006,"New Jersey","Liver and Intrahepatic Bile Duct",5.2,492,8661679
"396",2006,"New Mexico","Liver and Intrahepatic Bile Duct",5.6,116,1962137
"397",2006,"New York","Liver and Intrahepatic Bile Duct",5.5,1149,19104631
"398",2006,"North Carolina","Liver and Intrahepatic Bile Duct",4.9,448,8917270
"399",2006,"North Dakota","Liver and Intrahepatic Bile Duct",3.8,29,649422
