state,county,sex,year,total_mean
Colorado,Elbert County,Females,2002,18.64
Colorado,El Paso County,Males,2002,23.14
Colorado,El Paso County,Females,2002,19.65
Colorado,Fremont County,Males,2002,31.74
Colorado,Fremont County,Females,2002,28.51
Colorado,Garfield County,Males,2002,25.94
Colorado,Garfield County,Females,2002,20.45
Colorado,Gilpin County,Males,2002,22.22
Colorado,Gilpin County,Females,2002,19.73
Colorado,Grand County,Males,2002,22.56
Colorado,Grand County,Females,2002,19.23
Colorado,Gunnison County,Males,2002,17.87
Colorado,Gunnison County,Females,2002,17.96
Colorado,Hinsdale County,Males,2002,22.94
Colorado,Hinsdale County,Females,2002,20.13
Colorado,Huerfano County,Males,2002,27.22
Colorado,Huerfano County,Females,2002,23.14
Colorado,Jackson County,Males,2002,24.73
Colorado,Jackson County,Females,2002,21.54
Colorado,Kiowa County,Males,2002,24.79
Colorado,Kiowa County,Females,2002,22.04
Colorado,Kit Carson County,Males,2002,26.57
Colorado,Kit Carson County,Females,2002,22.01
Colorado,Lake County,Males,2002,28.64
Colorado,Lake County,Females,2002,21.57
Colorado,La Plata County,Males,2002,20.71
Colorado,La Plata County,Females,2002,19.35
Colorado,Larimer County,Males,2002,21.82
Colorado,Larimer County,Females,2002,18.28
Colorado,Las Animas County,Males,2002,26.39
Colorado,Las Animas County,Females,2002,23.16
Colorado,Lincoln County,Males,2002,26.61
Colorado,Lincoln County,Females,2002,23.51
Colorado,Logan County,Males,2002,27.46
Colorado,Logan County,Females,2002,24.94
Colorado,Mesa County,Males,2002,24.55
Colorado,Mesa County,Females,2002,24.21
Colorado,Mineral County,Males,2002,21.56
Colorado,Mineral County,Females,2002,19.48
Colorado,Moffat County,Males,2002,30.25
Colorado,Moffat County,Females,2002,25.96
Colorado,Montezuma County,Males,2002,24.77
Colorado,Montezuma County,Females,2002,22.27
Colorado,Montrose County,Males,2002,26.34
Colorado,Montrose County,Females,2002,24.07
Colorado,Morgan County,Males,2002,28.76
Colorado,Morgan County,Females,2002,22.83
Colorado,Otero County,Males,2002,27.71
Colorado,Otero County,Females,2002,23.21
Colorado,Ouray County,Males,2002,20.03
Colorado,Ouray County,Females,2002,18.89
Colorado,Park County,Males,2002,24.0
Colorado,Park County,Females,2002,20.28
Colorado,Phillips County,Males,2002,24.14
Colorado,Phillips County,Females,2002,20.67
Colorado,Pitkin County,Males,2002,16.63
