"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"383",2006,"Louisiana","Female Breast",26.5,641,2204072
"384",2006,"Maine","Female Breast",21.2,193,676157
"385",2006,"Maryland","Female Breast",25,808,2907963
"386",2006,"Massachusetts","Female Breast",23.4,968,3311185
"387",2006,"Michigan","Female Breast",25,1493,5106621
"388",2006,"Minnesota","Female Breast",20.6,612,2600951
"389",2006,"Mississippi","Female Breast",25.6,427,1496313
"390",2006,"Missouri","Female Breast",25.4,906,2987563
"391",2006,"Montana","Female Breast",18.9,113,475341
"392",2006,"Nebraska","Female Breast",19.9,215,894687
"393",2006,"Nevada","Female Breast",20.6,254,1243993
"394",2006,"New Hampshire","Female Breast",20.9,165,662773
"395",2006,"New Jersey","Female Breast",27.1,1450,4448099
"396",2006,"New Mexico","Female Breast",21,230,993969
"397",2006,"New York","Female Breast",23.1,2729,9871401
"398",2006,"North Carolina","Female Breast",24,1241,4563152
"399",2006,"North Dakota","Female Breast",20.1,84,322583
"400",2006,"Ohio","Female Breast",26.5,1893,5883067
"401",2006,"Oklahoma","Female Breast",25.4,538,1818693
"402",2006,"Oregon","Female Breast",23.1,518,1853117
"403",2006,"Pennsylvania","Female Breast",24.8,2121,6429312
"404",2006,"Rhode Island","Female Breast",21.2,153,550134
"405",2006,"South Carolina","Female Breast",24.6,630,2237655
"406",2006,"South Dakota","Female Breast",19.9,97,392420
"407",2006,"Tennessee","Female Breast",24.7,891,3121455
"408",2006,"Texas","Female Breast",22.6,2574,11771243
"409",2006,"United States","Female Breast",23.6,40820,151732647
"410",2006,"Utah","Female Breast",25.9,268,1257991
"411",2006,"Vermont","Female Breast",22,91,316290
"412",2006,"Virginia","Female Breast",25.3,1085,3908475
"413",2006,"Washington","Female Breast",22.9,814,3200695
"414",2006,"West Virginia","Female Breast",21.3,267,930605
"415",2006,"Wisconsin","Female Breast",22.6,755,2812276
"416",2006,"Wyoming","Female Breast",22.9,66,257361
"417",2007,"Alabama","Female Breast",24.2,682,2407275
"418",2007,"Alaska","Female Breast",25.9,68,327138
"419",2007,"Arizona","Female Breast",21.1,732,3096998
"420",2007,"Arkansas","Female Breast",26.1,458,1451358
"421",2007,"California","Female Breast",22.3,4221,18214926
"422",2007,"Colorado","Female Breast",18.6,458,2396433
"423",2007,"Connecticut","Female Breast",21.4,505,1811617
"424",2007,"Delaware","Female Breast",26.4,139,449398
