"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"379",2006,"Indiana","Lung and Bronchus",61.7,4000,6332669
"380",2006,"Iowa","Lung and Bronchus",49,1714,2982644
"381",2006,"Kansas","Lung and Bronchus",54.4,1584,2762931
"382",2006,"Kentucky","Lung and Bronchus",74.5,3325,4219239
"383",2006,"Louisiana","Lung and Bronchus",61.5,2654,4302665
"384",2006,"Maine","Lung and Bronchus",60.8,971,1323619
"385",2006,"Maryland","Lung and Bronchus",53,2902,5627367
"386",2006,"Massachusetts","Lung and Bronchus",52.9,3722,6410084
"387",2006,"Michigan","Lung and Bronchus",55.3,5817,10036081
"388",2006,"Minnesota","Lung and Bronchus",44.9,2353,5163555
"389",2006,"Mississippi","Lung and Bronchus",67.8,2004,2904978
"390",2006,"Missouri","Lung and Bronchus",61.7,3933,5842704
"391",2006,"Montana","Lung and Bronchus",47.8,521,952692
"392",2006,"Nebraska","Lung and Bronchus",47.5,904,1772693
"393",2006,"Nevada","Lung and Bronchus",56.2,1307,2522658
"394",2006,"New Hampshire","Lung and Bronchus",51.9,709,1308389
"395",2006,"New Jersey","Lung and Bronchus",47.3,4403,8661679
"396",2006,"New Mexico","Lung and Bronchus",34.8,694,1962137
"397",2006,"New York","Lung and Bronchus",44.8,9176,19104631
"398",2006,"North Carolina","Lung and Bronchus",59,5373,8917270
"399",2006,"North Dakota","Lung and Bronchus",47.4,353,649422
"400",2006,"Ohio","Lung and Bronchus",59.2,7455,11481213
"401",2006,"Oklahoma","Lung and Bronchus",63.1,2440,3594090
"402",2006,"Oregon","Lung and Bronchus",53.2,2117,3670883
"403",2006,"Pennsylvania","Lung and Bronchus",52.4,7960,12510809
"404",2006,"Rhode Island","Lung and Bronchus",49.4,601,1063096
"405",2006,"South Carolina","Lung and Bronchus",58.7,2712,4357847
"406",2006,"South Dakota","Lung and Bronchus",48.8,437,783033
"407",2006,"Tennessee","Lung and Bronchus",67.8,4370,6088766
"408",2006,"Texas","Lung and Bronchus",49.5,9723,23359580
"409",2006,"United States","Lung and Bronchus",51.7,158599,298379912
"410",2006,"Utah","Lung and Bronchus",24,445,2525507
"411",2006,"Vermont","Lung and Bronchus",50.1,348,622892
"412",2006,"Virginia","Lung and Bronchus",54.7,4064,7673725
"413",2006,"Washington","Lung and Bronchus",49.8,3083,6370753
"414",2006,"West Virginia","Lung and Bronchus",69.4,1587,1827912
"415",2006,"Wisconsin","Lung and Bronchus",47.8,2852,5577655
"416",2006,"Wyoming","Lung and Bronchus",44.6,234,522667
"417",2007,"Alabama","Lung and Bronchus",61.5,3157,4672840
"418",2007,"Alaska","Lung and Bronchus",56.8,253,680300
"419",2007,"Arizona","Lung and Bronchus",40.6,2616,6167681
"420",2007,"Arkansas","Lung and Bronchus",63.2,2033,2848650
"421",2007,"California","Lung and Bronchus",39.9,13165,36250311
"422",2007,"Colorado","Lung and Bronchus",37.6,1586,4803868
"423",2007,"Connecticut","Lung and Bronchus",44.9,1800,3527270
"424",2007,"Delaware","Lung and Bronchus",56.6,549,871749
"425",2007,"District of Columbia","Lung and Bronchus",49.6,270,574404
"426",2007,"Florida","Lung and Bronchus",49.1,11720,18367842
"427",2007,"Georgia","Lung and Bronchus",55.5,4470,9349988
"428",2007,"Hawaii","Lung and Bronchus",36.3,545,1315675
"429",2007,"Idaho","Lung and Bronchus",41.4,600,1505105
"430",2007,"Illinois","Lung and Bronchus",54,6902,12695866
"431",2007,"Indiana","Lung and Bronchus",61,4017,6379599
"432",2007,"Iowa","Lung and Bronchus",51.8,1834,2999212
"433",2007,"Kansas","Lung and Bronchus",50.9,1510,2783785
"434",2007,"Kentucky","Lung and Bronchus",74.5,3401,4256672
"435",2007,"Louisiana","Lung and Bronchus",59.4,2628,4375581
"436",2007,"Maine","Lung and Bronchus",55.6,913,1327040
"437",2007,"Maryland","Lung and Bronchus",50.4,2812,5653408
"438",2007,"Massachusetts","Lung and Bronchus",50.7,3609,6431559
"439",2007,"Michigan","Lung and Bronchus",55.1,5914,10001284
"440",2007,"Minnesota","Lung and Bronchus",45.2,2418,5207203
"441",2007,"Mississippi","Lung and Bronchus",64.5,1924,2928350
"442",2007,"Missouri","Lung and Bronchus",59.7,3864,5887612
"443",2007,"Montana","Lung and Bronchus",50.8,567,964706
"444",2007,"Nebraska","Lung and Bronchus",48.6,938,1783440
"445",2007,"Nevada","Lung and Bronchus",53.7,1292,2601072
"446",2007,"New Hampshire","Lung and Bronchus",53.2,747,1312540
"447",2007,"New Jersey","Lung and Bronchus",46.9,4422,8677885
