state,county,sex,year,total_mean
Illinois,Carroll County,Females,2002,24.67
Illinois,Cass County,Females,2002,25.76
Illinois,Champaign County,Females,2002,18.86
Illinois,Christian County,Females,2002,27.84
Illinois,Clark County,Females,2002,27.15
Illinois,Clay County,Females,2002,27.02
Illinois,Clinton County,Females,2002,24.97
Illinois,Coles County,Females,2002,23.57
Illinois,Cook County,Females,2002,21.53
Illinois,Crawford County,Females,2002,27.01
Illinois,Cumberland County,Females,2002,25.03
Illinois,DeKalb County,Females,2002,19.6
Illinois,De Witt County,Females,2002,26.28
Illinois,Douglas County,Females,2002,24.08
Illinois,DuPage County,Females,2002,18.3
Illinois,Edgar County,Females,2002,26.01
Illinois,Edwards County,Females,2002,25.06
Illinois,Effingham County,Females,2002,23.79
Illinois,Fayette County,Females,2002,27.14
Illinois,Ford County,Females,2002,25.08
Illinois,Franklin County,Females,2002,30.37
Illinois,Fulton County,Females,2002,28.86
Illinois,Gallatin County,Females,2002,28.29
Illinois,Greene County,Females,2002,26.51
Illinois,Grundy County,Females,2002,24.74
Illinois,Hamilton County,Females,2002,28.13
Illinois,Hancock County,Females,2002,25.52
Illinois,Hardin County,Females,2002,27.09
Illinois,Henderson County,Females,2002,25.86
Illinois,Henry County,Females,2002,24.44
Illinois,Iroquois County,Females,2002,24.56
Illinois,Jackson County,Females,2002,21.38
Illinois,Jasper County,Females,2002,25.21
Illinois,Jefferson County,Females,2002,27.75
Illinois,Jersey County,Females,2002,24.02
Illinois,Jo Daviess County,Females,2002,22.96
Illinois,Johnson County,Females,2002,24.7
Illinois,Kane County,Females,2002,19.87
Illinois,Kankakee County,Females,2002,23.39
Illinois,Kendall County,Females,2002,20.95
Illinois,Knox County,Females,2002,27.73
Illinois,Lake County,Females,2002,20.68
Illinois,LaSalle County,Females,2002,25.78
Illinois,Lawrence County,Females,2002,28.2
Illinois,Lee County,Females,2002,24.08
Illinois,Livingston County,Females,2002,26.21
Illinois,Logan County,Females,2002,27.49
Illinois,McDonough County,Females,2002,21.95
Illinois,McHenry County,Females,2002,21.86
Illinois,McLean County,Females,2002,19.68
Illinois,Macon County,Females,2002,26.59
Illinois,Macoupin County,Females,2002,25.11
Illinois,Madison County,Females,2002,25.25
Illinois,Marion County,Females,2002,28.59
Illinois,Marshall County,Females,2002,24.25
Illinois,Mason County,Females,2002,27.14
Illinois,Massac County,Females,2002,25.57
Illinois,Menard County,Females,2002,23.53
Illinois,Mercer County,Females,2002,25.29
Illinois,Monroe County,Females,2002,21.78
Illinois,Montgomery County,Females,2002,27.2
Illinois,Morgan County,Females,2002,24.72
Illinois,Moultrie County,Females,2002,24.85
Illinois,Ogle County,Females,2002,22.83
Illinois,Peoria County,Females,2002,25.08
Illinois,Perry County,Females,2002,28.5
Illinois,Piatt County,Females,2002,22.4
Illinois,Pike County,Females,2002,27.56
