Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2003,Maryland,Liver and Intrahepatic Bile Duct,4.8,259,5496269
2003,Massachusetts,Liver and Intrahepatic Bile Duct,4.6,317,6422565
2003,Michigan,Liver and Intrahepatic Bile Duct,4.8,496,10041152
2003,Minnesota,Liver and Intrahepatic Bile Duct,4.5,223,5053572
2003,Mississippi,Liver and Intrahepatic Bile Duct,6.8,191,2868312
2003,Missouri,Liver and Intrahepatic Bile Duct,4.8,294,5709403
2003,Montana,Liver and Intrahepatic Bile Duct,3.5,36,919630
2003,Nebraska,Liver and Intrahepatic Bile Duct,3.5,65,1738643
2003,Nevada,Liver and Intrahepatic Bile Duct,4.8,103,2248850
2003,New Hampshire,Liver and Intrahepatic Bile Duct,4,52,1279840
2003,New Jersey,Liver and Intrahepatic Bile Duct,5.1,464,8601402
2003,New Mexico,Liver and Intrahepatic Bile Duct,6,114,1877574
2003,New York,Liver and Intrahepatic Bile Duct,4.8,963,19175939
2003,North Carolina,Liver and Intrahepatic Bile Duct,4.4,367,8422501
2003,North Dakota,Liver and Intrahepatic Bile Duct,4.3,31,638817
2003,Ohio,Liver and Intrahepatic Bile Duct,4.2,517,11434788
2003,Oklahoma,Liver and Intrahepatic Bile Duct,4.3,159,3504892
2003,Oregon,Liver and Intrahepatic Bile Duct,4.5,172,3547376
2003,Pennsylvania,Liver and Intrahepatic Bile Duct,5,734,12374658
2003,Rhode Island,Liver and Intrahepatic Bile Duct,6,73,1071342
2003,South Carolina,Liver and Intrahepatic Bile Duct,4.9,205,4150297
2003,South Dakota,Liver and Intrahepatic Bile Duct,3.6,30,763729
2003,Tennessee,Liver and Intrahepatic Bile Duct,5,300,5847812
2003,Texas,Liver and Intrahepatic Bile Duct,6.4,1185,22030931
2003,United States,Liver and Intrahepatic Bile Duct,5,14706,290107933
2003,Utah,Liver and Intrahepatic Bile Duct,3.4,61,2360137
2003,Vermont,Liver and Intrahepatic Bile Duct,3.8,25,617858
2003,Virginia,Liver and Intrahepatic Bile Duct,4.4,315,7366977
2003,Washington,Liver and Intrahepatic Bile Duct,5.3,318,6104115
2003,West Virginia,Liver and Intrahepatic Bile Duct,4.2,93,1812295
2003,Wisconsin,Liver and Intrahepatic Bile Duct,4.6,264,5479203
2003,Wyoming,Liver and Intrahepatic Bile Duct,4.4,23,503453
2004,Alabama,Liver and Intrahepatic Bile Duct,5.6,268,4530729
2004,Alaska,Liver and Intrahepatic Bile Duct,8.2,34,659286
2004,Arizona,Liver and Intrahepatic Bile Duct,5.3,307,5652404
2004,Arkansas,Liver and Intrahepatic Bile Duct,6.3,190,2749686
2004,California,Liver and Intrahepatic Bile Duct,6.2,1985,35574576
2004,Colorado,Liver and Intrahepatic Bile Duct,4.5,179,4575013
2004,Connecticut,Liver and Intrahepatic Bile Duct,4.7,184,3496094
2004,Delaware,Liver and Intrahepatic Bile Duct,4.1,36,830803
2004,District of Columbia,Liver and Intrahepatic Bile Duct,6.2,35,567754
2004,Florida,Liver and Intrahepatic Bile Duct,4.8,1039,17415318
2004,Georgia,Liver and Intrahepatic Bile Duct,4.2,319,8769252
2004,Hawaii,Liver and Intrahepatic Bile Duct,8.1,112,1273569
2004,Idaho,Liver and Intrahepatic Bile Duct,3.6,48,1391802
2004,Illinois,Liver and Intrahepatic Bile Duct,5.1,639,12589773
2004,Indiana,Liver and Intrahepatic Bile Duct,4.4,282,6233007
2004,Iowa,Liver and Intrahepatic Bile Duct,4,140,2953635
2004,Kansas,Liver and Intrahepatic Bile Duct,3.2,93,2734373
2004,Kentucky,Liver and Intrahepatic Bile Duct,4.8,204,4146101
2004,Louisiana,Liver and Intrahepatic Bile Duct,7,310,4552238
2004,Maine,Liver and Intrahepatic Bile Duct,4.1,63,1313688
2004,Maryland,Liver and Intrahepatic Bile Duct,4.5,243,5546935
2004,Massachusetts,Liver and Intrahepatic Bile Duct,4.9,341,6412281
2004,Michigan,Liver and Intrahepatic Bile Duct,5,525,10055315
2004,Minnesota,Liver and Intrahepatic Bile Duct,4.1,211,5087713
2004,Mississippi,Liver and Intrahepatic Bile Duct,5.9,169,2889010
2004,Missouri,Liver and Intrahepatic Bile Duct,4.9,305,5747741
2004,Montana,Liver and Intrahepatic Bile Duct,3.2,33,930009
2004,Nebraska,Liver and Intrahepatic Bile Duct,4,75,1749370
2004,Nevada,Liver and Intrahepatic Bile Duct,5.8,128,2346222
2004,New Hampshire,Liver and Intrahepatic Bile Duct,4.1,54,1290121
2004,New Jersey,Liver and Intrahepatic Bile Duct,5.2,474,8634561
2004,New Mexico,Liver and Intrahepatic Bile Duct,6.7,129,1903808
2004,New York,Liver and Intrahepatic Bile Duct,5.3,1087,19171567
2004,North Carolina,Liver and Intrahepatic Bile Duct,4.2,367,8553152
2004,North Dakota,Liver and Intrahepatic Bile Duct,3.3,25,644705
2004,Ohio,Liver and Intrahepatic Bile Duct,4.4,541,11452251
2004,Oklahoma,Liver and Intrahepatic Bile Duct,4.4,164,3525233
2004,Oregon,Liver and Intrahepatic Bile Duct,4.5,171,3569463
2004,Pennsylvania,Liver and Intrahepatic Bile Duct,4.9,722,12410722
