Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2003,Utah,Female Breast,23.7,222,1175867
2003,Vermont,Female Breast,26.3,98,314206
2003,Virginia,Female Breast,27,1087,3757780
2003,Washington,Female Breast,24,788,3065739
2003,West Virginia,Female Breast,25.4,306,925835
2003,Wisconsin,Female Breast,23.7,769,2766901
2003,Wyoming,Female Breast,24.4,66,249128
2004,Alabama,Female Breast,24.2,651,2337857
2004,Alaska,Female Breast,19.1,45,317807
2004,Arizona,Female Breast,21.9,676,2835606
2004,Arkansas,Female Breast,24.9,418,1403048
2004,California,Female Breast,23.4,4202,17871415
2004,Colorado,Female Breast,22.6,509,2274511
2004,Connecticut,Female Breast,24.9,553,1798078
2004,Delaware,Female Breast,26.5,131,427320
2004,District of Columbia,Female Breast,27.3,90,300284
2004,Florida,Female Breast,23.4,2754,8902447
2004,Georgia,Female Breast,26,1131,4463524
2004,Hawaii,Female Breast,16,118,636864
2004,Idaho,Female Breast,22.2,160,693186
2004,Illinois,Female Breast,25.6,1830,6414209
2004,Indiana,Female Breast,24,864,3168952
2004,Iowa,Female Breast,22.4,436,1498888
2004,Kansas,Female Breast,22.4,366,1382396
2004,Kentucky,Female Breast,24.3,587,2112051
2004,Louisiana,Female Breast,27.6,685,2338753
2004,Maine,Female Breast,21.4,185,671862
2004,Maryland,Female Breast,27.1,847,2870043
2004,Massachusetts,Female Breast,24.1,972,3314634
2004,Michigan,Female Breast,24.4,1413,5117929
2004,Minnesota,Female Breast,22.5,656,2564037
2004,Mississippi,Female Breast,27.4,445,1490115
2004,Missouri,Female Breast,25.6,898,2942685
2004,Montana,Female Breast,24.6,138,465000
2004,Nebraska,Female Breast,23.5,248,883984
2004,Nevada,Female Breast,25.6,294,1156586
2004,New Hampshire,Female Breast,24,179,653845
2004,New Jersey,Female Breast,26.1,1376,4436964
2004,New Mexico,Female Breast,23.8,247,964738
2004,New York,Female Breast,24.7,2888,9913527
2004,North Carolina,Female Breast,25.3,1226,4376070
2004,North Dakota,Female Breast,21.9,88,321008
2004,Ohio,Female Breast,27.1,1888,5874411
2004,Oklahoma,Female Breast,22.5,464,1784671
2004,Oregon,Female Breast,24,512,1800377
2004,Pennsylvania,Female Breast,27.5,2312,6390749
2004,Rhode Island,Female Breast,21.8,155,556375
2004,South Carolina,Female Breast,23.1,559,2162305
2004,South Dakota,Female Breast,22.2,106,386677
2004,Tennessee,Female Breast,25.7,885,3027931
2004,Texas,Female Breast,23.2,2473,11278402
2004,United States,Female Breast,24.5,40954,148977286
2004,Utah,Female Breast,22.9,221,1196749
2004,Vermont,Female Breast,24.6,96,315080
2004,Virginia,Female Breast,25.5,1052,3814310
2004,Washington,Female Breast,23.4,778,3107815
2004,West Virginia,Female Breast,24.7,304,927027
2004,Wisconsin,Female Breast,23.5,773,2782678
