Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2002,Pennsylvania,Lung and Bronchus,54.7,8096,12331031
2002,Rhode Island,Lung and Bronchus,58.7,695,1065995
2002,South Carolina,Lung and Bronchus,60.3,2483,4107795
2002,South Dakota,Lung and Bronchus,47.7,399,760020
2002,Tennessee,Lung and Bronchus,69.4,4080,5795918
2002,Texas,Lung and Bronchus,55.4,9797,21690325
2002,United States,Lung and Bronchus,55,157630,287625193
2002,Utah,Lung and Bronchus,24.6,400,2324815
2002,Vermont,Lung and Bronchus,49.1,318,615442
2002,Virginia,Lung and Bronchus,57.5,3920,7286873
2002,Washington,Lung and Bronchus,54.6,3084,6052349
2002,West Virginia,Lung and Bronchus,69.4,1522,1805414
2002,Wisconsin,Lung and Bronchus,49.6,2803,5445162
2002,Wyoming,Lung and Bronchus,49.6,242,500017
2003,Alabama,Lung and Bronchus,65,3107,4503491
2003,Alaska,Lung and Bronchus,56.9,214,648414
2003,Arizona,Lung and Bronchus,48.2,2719,5510364
2003,Arkansas,Lung and Bronchus,67.2,2018,2724816
2003,California,Lung and Bronchus,44.2,13640,35253159
2003,Colorado,Lung and Bronchus,41.7,1545,4528732
2003,Connecticut,Lung and Bronchus,49.1,1889,3484336
2003,Delaware,Lung and Bronchus,62.3,539,818003
2003,District of Columbia,Lung and Bronchus,50.9,284,568502
2003,Florida,Lung and Bronchus,54.2,11915,17004085
2003,Georgia,Lung and Bronchus,59.6,4261,8622793
2003,Hawaii,Lung and Bronchus,37.4,508,1251154
2003,Idaho,Lung and Bronchus,46.5,590,1363380
2003,Illinois,Lung and Bronchus,56,6854,12556006
2003,Indiana,Lung and Bronchus,65.5,4074,6196638
2003,Iowa,Lung and Bronchus,52.2,1765,2941999
2003,Kansas,Lung and Bronchus,53.7,1515,2723004
2003,Kentucky,Lung and Bronchus,78.5,3330,4117170
2003,Louisiana,Lung and Bronchus,66,2855,4521042
2003,Maine,Lung and Bronchus,62.7,951,1306513
2003,Maryland,Lung and Bronchus,57.7,3015,5496269
2003,Massachusetts,Lung and Bronchus,54.7,3760,6422565
2003,Michigan,Lung and Bronchus,56.3,5711,10041152
2003,Minnesota,Lung and Bronchus,46.1,2283,5053572
2003,Mississippi,Lung and Bronchus,67,1897,2868312
2003,Missouri,Lung and Bronchus,61.9,3786,5709403
2003,Montana,Lung and Bronchus,52.7,535,919630
2003,Nebraska,Lung and Bronchus,47.9,877,1738643
2003,Nevada,Lung and Bronchus,62.8,1324,2248850
2003,New Hampshire,Lung and Bronchus,53.1,679,1279840
2003,New Jersey,Lung and Bronchus,51.2,4648,8601402
2003,New Mexico,Lung and Bronchus,39.6,725,1877574
2003,New York,Lung and Bronchus,47.2,9453,19175939
2003,North Carolina,Lung and Bronchus,57.7,4848,8422501
2003,North Dakota,Lung and Bronchus,43.5,316,638817
2003,Ohio,Lung and Bronchus,60.6,7411,11434788
2003,Oklahoma,Lung and Bronchus,62.5,2312,3504892
2003,Oregon,Lung and Bronchus,55.3,2062,3547376
2003,Pennsylvania,Lung and Bronchus,53.3,7949,12374658
2003,Rhode Island,Lung and Bronchus,54.2,644,1071342
2003,South Carolina,Lung and Bronchus,62,2625,4150297
2003,South Dakota,Lung and Bronchus,47.7,405,763729
